PONTO;lat;lon;DIR_PAR;DIR_NOR
0;-34,936;-52,618;38;128
1;-34,413;-52,109;33;123
2;-33,856;-51,660;44;134
3;-33,377;-51,090;40;130
4;-32,860;-50,556;7;97
5;-32,190;-50,448;2;92
6;-31,515;-50,415;27;117
7;-30,915;-50,052;43;133
8;-30,419;-49,515;29;119
9;-29,831;-49,131;31;121
10;-29,252;-48,731;33;123
11;-28,627;-48,269;14;104
12;-27,973;-48,081;15;105
13;-27,323;-47,877;27;117
14;-26,723;-47,527;26;116
15;-26,119;-47,190;40;130
16;-25,424;-46,545;67;157
17;-25,102;-45,677;48;138
18;-24,652;-45,123;34;124
19;-24,090;-44,706;58;148
20;-23,731;-44,077;63;153
21;-23,423;-43,419;73;163
22;-23,186;-42,576;83;173
23;-23,103;-41,847;90;180
24;-23,106;-41,065;31;121
25;-22,427;-40,623;46;136
26;-21,960;-40,094;342;72
27;-21,310;-40,310;27;117
28;-20,618;-39,934;18;108
29;-19,827;-39,653;69;159
30;-19,535;-38,827;75;165
31;-19,330;-37,998;7;97
32;-18,535;-37,881;7;97
